status	kind	object_key	production_md5	repository_md5
repository_only	COL	public.partner_access_codes.starts_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_access_codes.updated_at	-	2a0dc3036bc866831d9851adf3a8e662
repository_only	COL	public.partner_access_codes.uses_count	-	52378c13255754f107c8d249a20b7ad8
repository_only	COL	public.partner_email_deliveries.created_at	-	2296a97dc03cbb9e4b5ff12fd794dd45
repository_only	COL	public.partner_email_deliveries.email_type	-	a0e2a7e904371b566f6438d36a4e15a3
repository_only	COL	public.partner_email_deliveries.error_message	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_email_deliveries.failed_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_email_deliveries.id	-	0a886be4c7d96e8e5c1269b1209f5b2c
repository_only	COL	public.partner_email_deliveries.partner_slug	-	a0e2a7e904371b566f6438d36a4e15a3
repository_only	COL	public.partner_email_deliveries.preview_url	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_email_deliveries.provider	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_email_deliveries.provider_message_id	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_email_deliveries.recipient_email	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_email_deliveries.recipient_name	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_email_deliveries.sent_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_email_deliveries.status	-	32dd406aa98bd0250c0aad4ac9f54952
repository_only	COL	public.partner_email_deliveries.subject	-	a0e2a7e904371b566f6438d36a4e15a3
repository_only	COL	public.partner_email_deliveries.updated_at	-	2296a97dc03cbb9e4b5ff12fd794dd45
repository_only	COL	public.partner_entitlement.overage_amount_cents	-	52378c13255754f107c8d249a20b7ad8
repository_only	COL	public.partner_entitlement.overage_enabled	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_entitlement.overage_packet_price_cents	-	913ca2e001b7b5c557044c2517d610f4
repository_only	COL	public.partner_entitlement.overage_packets	-	52378c13255754f107c8d249a20b7ad8
repository_only	COL	public.partner_entitlement.pause_at_cap	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_onboarding.access_controls_ready	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_onboarding.admin_users_ready	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_onboarding.aggregate_version	-	a9d5906bcf464452490ed2032319f86c
repository_only	COL	public.partner_onboarding.agreement_date	-	675cc7757f1a295bf833cd0d72b402cb
repository_only	COL	public.partner_onboarding.agreement_status	-	89a6b37ef84b280f55b300fec02af8e1
repository_only	COL	public.partner_onboarding.billing_contact_email	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.billing_contact_name	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.billing_ready	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_onboarding.blocker_code	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.closed_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_onboarding.closed_by	-	87b49eb176aadf74093836205bcb5c02
repository_only	COL	public.partner_onboarding.closed_reason	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.commercial_gate_changed_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_onboarding.commercial_gate_changed_by	-	87b49eb176aadf74093836205bcb5c02
repository_only	COL	public.partner_onboarding.commercial_gate_evidence_reference	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.commercial_gate_override_reason	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.commercial_gate_status	-	ac3f3974e220e125fc5e202a1d7f9e91
repository_only	COL	public.partner_onboarding.completion_percentage	-	52378c13255754f107c8d249a20b7ad8
repository_only	COL	public.partner_onboarding.created_at	-	2a0dc3036bc866831d9851adf3a8e662
repository_only	COL	public.partner_onboarding.id	-	0a886be4c7d96e8e5c1269b1209f5b2c
repository_only	COL	public.partner_onboarding.internal_approval_reason	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.internal_approved_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_onboarding.internal_approved_by	-	87b49eb176aadf74093836205bcb5c02
repository_only	COL	public.partner_onboarding.internal_billing_notes	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.internal_notes	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.landing_page_ready	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_onboarding.last_meaningful_activity_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_onboarding.launch_materials_ready	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_onboarding.launch_readiness_state	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.launched_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_onboarding.next_action_code	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.next_action_owner	-	7e4d8888f406b4719c6ef861b04e8388
repository_only	COL	public.partner_onboarding.package_name	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.partner_record_id	-	87b49eb176aadf74093836205bcb5c02
repository_only	COL	public.partner_onboarding.partner_slug	-	a0e2a7e904371b566f6438d36a4e15a3
repository_only	COL	public.partner_onboarding.paused_at	-	e8a332b3112fa8886bb3e0d0d0c235a6
repository_only	COL	public.partner_onboarding.profile_ready	-	80e05d65bdc8eebb7a551116251bde5c
repository_only	COL	public.partner_onboarding.public_display_name	-	bb454ba541f2d57b452c98ed1e2ea11e
repository_only	COL	public.partner_onboarding.public_headline	-	bb454ba541f2d57b452c98ed1e2ea11e
